"long","lat","order","hole","piece","group","id"
-852115.6684,7178284.5658,182,FALSE,"1","Cavan.1","Cavan"
-852416.5494,7180854.1,183,FALSE,"1","Cavan.1","Cavan"
-855447.7637,7181597.3272,184,FALSE,"1","Cavan.1","Cavan"
-858177.2694,7186164.0589,185,FALSE,"1","Cavan.1","Cavan"
-861188.4123,7185888.2625,186,FALSE,"1","Cavan.1","Cavan"
-861189.793,7188171.5438,187,FALSE,"1","Cavan.1","Cavan"
-864287.61,7191104.31,188,FALSE,"1","Cavan.1","Cavan"
-866527.9371,7190673.0737,189,FALSE,"1","Cavan.1","Cavan"
-867861.0435,7192421.066,190,FALSE,"1","Cavan.1","Cavan"
-871746.4374,7188909.1574,191,FALSE,"1","Cavan.1","Cavan"
-885352.522,7204142.2681,192,FALSE,"1","Cavan.1","Cavan"
-889417.6451,7204516.4532,193,FALSE,"1","Cavan.1","Cavan"
-891105.9712,7206680.013,194,FALSE,"1","Cavan.1","Cavan"
-895887.3142,7205656.1403,195,FALSE,"1","Cavan.1","Cavan"
-894186.6473,7210616.3196,196,FALSE,"1","Cavan.1","Cavan"
-896575.073,7216226.0955,197,FALSE,"1","Cavan.1","Cavan"
-895099.9786,7218438.3333,198,FALSE,"1","Cavan.1","Cavan"
-890953.3238,7217563.6224,199,FALSE,"1","Cavan.1","Cavan"
-884805.619,7228050.7589,200,FALSE,"1","Cavan.1","Cavan"
-1002911.6476,7009087.8856,201,FALSE,"1","Clare.1","Clare"
-1004746.5569,7008983.7726,202,FALSE,"1","Clare.1","Clare"
-1004980.4159,7007134.1954,203,FALSE,"1","Clare.1","Clare"
-1003083.5249,7002065.0791,204,FALSE,"1","Clare.1","Clare"
-989780.9627,6994223.0753,205,FALSE,"1","Clare.1","Clare"
-990803.4487,6989446.6901,206,FALSE,"1","Clare.1","Clare"
-988871.9997,6986057.7344,207,FALSE,"1","Clare.1","Clare"
-990524.5459,6985175.1807,208,FALSE,"1","Clare.1","Clare"
-990302.6264,6983143.8661,209,FALSE,"1","Clare.1","Clare"
-989090.4146,6978916.0645,210,FALSE,"1","Clare.1","Clare"
-986314.0556,6979094.1972,211,FALSE,"1","Clare.1","Clare"
-986153.1391,6977123.4976,212,FALSE,"1","Clare.1","Clare"
-983714.9301,6981233.8037,213,FALSE,"1","Clare.1","Clare"
-982517.019,6979056.2506,214,FALSE,"1","Clare.1","Clare"
-978032.9365,6977834.4278,215,FALSE,"1","Clare.1","Clare"
-977242.7956,6980731.735,216,FALSE,"1","Clare.1","Clare"
-973041.6273,6983475.7111,217,FALSE,"1","Clare.1","Clare"
-970635.9648,6987689.6282,218,FALSE,"1","Clare.1","Clare"
-961184.0846,6990728.8409,219,FALSE,"1","Clare.1","Clare"
-960310.28,6989309.9093,220,FALSE,"1","Clare.1","Clare"
-952304.5288,6990816.1248,221,FALSE,"1","Clare.1","Clare"
-952548.6995,6987941.5585,222,FALSE,"1","Clare.1","Clare"
-949375.177,6987363.1169,223,FALSE,"1","Clare.1","Clare"
-946504.7732,6979906.0408,224,FALSE,"1","Clare.1","Clare"
-944546.7349,6980960.3007,225,FALSE,"1","Clare.1","Clare"
-940653.3571,6977868.3361,226,FALSE,"1","Clare.1","Clare"
-936032.5793,6982030.6961,227,FALSE,"1","Clare.1","Clare"
