"","FID","LE_ID","ENGLISH","COUNTY","GUID","Pop2016","C19_P14_T","P14_100k","P14_100k_T","Ire_IncP14","EventDate"
"138",138,13160402,"ASHBOURNE LEA-6","MEATH","2ae19629-3f1a-13a3-e055-000000000001",29081,"20",68.8,"68.8",88.2,"2020/09/28 00:00:00+00"
"139",139,13170400,"MONAGHAN LEA-7","MONAGHAN","2ae19629-3f1e-13a3-e055-000000000001",22695,"46",202.7,"202.7",88.2,"2020/09/28 00:00:00+00"
"140",140,13100402,"GRAIGUECULLEN -PORTARLINGTON-LEA-6","LAOIS","2ae19629-3f01-13a3-e055-000000000001",28096,"9",32,"32",88.2,"2020/09/28 00:00:00+00"
"141",141,13210404,"CASHEL-TIPPERARY LEA-7","TIPPERARY","2ae19629-3f30-13a3-e055-000000000001",27382,"8",29.2,"29.2",88.2,"2020/09/28 00:00:00+00"
"142",142,13250400,"BALTINGLASS LEA-6","WICKLOW","2ae19629-3f3d-13a3-e055-000000000001",26167,"15",57.3,"57.3",88.2,"2020/09/28 00:00:00+00"
"143",143,1310400,"CARLOW LEA-7","CARLOW","2ae19629-3f02-13a3-e055-000000000001",22650,"5",22.1,"22.1",88.2,"2020/09/28 00:00:00+00"
"144",144,1340400,"KANTURK LEA-4","CORK","2ae19629-3f63-13a3-e055-000000000001",24935,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"145",145,1390402,"PILTOWN LEA-5","KILKENNY","2ae19629-3f76-13a3-e055-000000000001",21343,"8",37.5,"37.5",88.2,"2020/09/28 00:00:00+00"
"146",146,1340414,"CORK CITY SOUTH WEST LEA-7","CORK","2ae19629-3ef4-13a3-e055-000012000001",47049,"69",146.7,"146.7",88.2,"2020/09/28 00:00:00+00"
"147",147,13200400,"BALLYMOTE-TOBERCURRY LEA-7","SLIGO","2ae19629-3f27-13a3-e055-000000000001",26731,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"148",148,13120421,"LIMERICK CITY NORTH LEA-7","LIMERICK","2ae19629-3f0b-13a3-e055-000000000001",34714,"10",28.8,"28.8",88.2,"2020/09/28 00:00:00+00"
"149",149,1360403,"LOUGHREA LEA-5","GALWAY","2ae19629-3f4b-13a3-e055-000000000001",23219,"26",112,"112",88.2,"2020/09/28 00:00:00+00"
"150",150,13260420,"BALLYMUN-FINGLAS LEA-6","DUBLIN","2ae19629-3f56-13a3-e055-000000000001",55010,"149",270.9,"270.9",88.2,"2020/09/28 00:00:00+00"
"151",151,13240404,"WEXFORD LEA-7","WEXFORD","2ae19629-3ef4-13a3-e055-000024000001",29114,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
